# runnable (R) and uninterruptible (D) threads by command, sampled every 0.5 s for 40 s during the batch; 2026-09-18 08:14:37 UTC
# 08:14:37 up 3 days, 19:53,  0 user,  load average: 2.58, 2.79, 2.16
python3              R mean 1.00
jobq                 R mean 0.44
jobq                 D mean 0.38
jbd2/vda-8           D mean 0.28
Thread-9 (w)         R mean 0.11
mi-scavenger         R mean 0.10
claude               R mean 0.10
jbd2/vda-8           R mean 0.10
Thread-7 (produ      R mean 0.09
Thread-3 (produ      R mean 0.07
Thread-4 (produ      R mean 0.07
Thread-8 (produ      R mean 0.07
# 08:15:18 up 3 days, 19:54,  0 user,  load average: 2.74, 2.80, 2.19
