2026-09-18 04:36:04 UTC
04:36:04 up 3 days, 16:14,  0 user,  load average: 1.57, 1.30, 1.18
| runtime | over      | MB/s: 10^6 bytes a second, 100 MiB (2^20 bytes each) each way |
|---------|-----------|---------------------------------------------------------------|
| run     | plain     | 545.8                                                         |
| run     | aes128gcm | 202.1                                                         |
| run     | chacha20  | 125.5                                                         |
| binary  | plain     | 482.1                                                         |
| binary  | aes128gcm | 309.2                                                         |
| binary  | chacha20  | 165.1                                                         |

| runtime | over      | µs a round trip (1000 of them) |
|---------|-----------|--------------------------------|
| run     | plain     | 28                             |
| run     | aes128gcm | 33                             |
| run     | chacha20  | 47                             |
| binary  | plain     | 22                             |
| binary  | aes128gcm | 25                             |
| binary  | chacha20  | 21                             |
