epoch_seconds	stage	files	best_total_us
1789260814	lex	50	107
1789260814	parse	50	97
1789260814	check	50	n/a
1789260814	lower	50	n/a
1789260814	run	50	n/a
1789264119	lex	50	75
1789264119	parse	50	136
1789264119	check	50	251
1789264119	lower	50	n/a
1789264119	run	50	n/a
1789266405	lex	51	57
1789266405	parse	51	114
1789266405	check	51	256
1789266405	lower	51	294
1789266405	run	51	540
1789267778	lex	52	57
1789267778	parse	52	118
1789267778	check	52	252
1789267778	lower	52	314
1789267778	run	52	577
1789270109	lex	52	63
1789270109	parse	52	122
1789270109	check	52	295
1789270109	lower	52	347
1789270109	run	52	647
1789270109	fmt	52	263
1789272598	lex	55	62
1789272598	parse	55	118
1789272598	check	55	323
1789272598	lower	55	375
1789272598	run	55	676
1789272598	fmt	55	277
1789272598	run-programs	3	25419
1789278840	lex	59	230
1789278840	parse	59	541
1789278840	check	59	1247
1789278840	lower	59	1535
1789278840	run	59	82355
1789278840	fmt	59	626
1789278840	run-programs	4	133153
1789278840	logstat-4k	4000	147948
1789283558	lex	67	527
1789283558	parse	67	758
1789283558	check	67	1297
1789283558	lower	67	1313
1789283558	run	67	9974
1789283558	fmt	67	628
1789283558	run-programs	5	26375
1789283558	logstat-4k	4000	13038
1789285711	lex	68	527
1789285711	parse	68	773
1789285711	check	68	1300
1789285711	lower	68	1355
1789285711	run	68	10177
1789285711	fmt	68	682
1789285711	run-programs	5	26560
1789285711	logstat-4k	4000	13338
1789285711	sim-100	100	628
1789289224	lex	68	466
1789289224	parse	68	739
1789289224	check	68	1266
1789289224	lower	68	1447
1789289224	run	68	10054
1789289224	fmt	68	665
1789289224	run-programs	5	27226
1789289224	logstat-4k	4000	13270
1789289224	sim-100	100	623
1789293471	lex	70	274
1789293471	parse	70	493
1789293471	check	70	1205
1789293471	lower	70	1466
1789293471	run	70	10087
1789293471	fmt	70	679
1789293471	run-programs	6	92665
1789293471	logstat-4k	4000	12574
1789293471	sim-100	100	617
1789293471	echo-1k	1000	55302
1789294076	lex	70	385
1789294076	parse	70	662
1789294076	check	70	1214
1789294076	lower	70	1455
1789294076	run	70	10050
1789294076	fmt	70	675
1789294076	run-programs	6	33026
1789294076	logstat-4k	4000	12793
1789294076	sim-100	100	618
1789294076	echo-1k	1000	56473
1789302917	lex	76	523
1789302917	parse	76	1101
1789302917	check	76	2917
1789302917	lower	76	3625
1789302917	run	76	16264
1789302917	fmt	76	1257
1789302917	run-programs	7	78687
1789302917	logstat-4k	4000	12177
1789302917	sim-100	100	573
1789302917	echo-1k	1000	59397
1789302917	map-100k	100000	46530
1789302917	kv-10k-get	10000	511960
1789304400	lex	76	506
1789304400	parse	76	1144
1789304400	check	76	2941
1789304400	lower	76	3621
1789304400	run	76	15910
1789304400	fmt	76	1250
1789304400	run-programs	7	75914
1789304400	logstat-4k	4000	80364
1789304400	sim-100	100	552
1789304400	echo-1k	1000	52474
1789304400	map-100k	100000	61597
1789304400	kv-10k-get	10000	471399
